category_title       ,price,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,characteristic_6,characteristic_7,characteristic_8,characteristic_9,characteristic_10,flag
consequat            ,84   ,$58.46M         ,$1B             ,$990.02M        ,$8.99B          ,$27.89B         ,$16.53M         ,$3.77B          ,$178.38M        ,$555.38M        ,$116.38B         ,true
vehicula             ,53   ,$2.97B          ,$16.89M         ,$294.49M        ,$125.21M        ,n/a             ,$1.67B          ,$28.19M         ,n/a             ,$1.01B          ,$98.16M          ,false
consequat dui        ,50   ,$10.32B         ,$3.23B          ,$710.24M        ,$67.58M         ,$555.7M         ,$134.32M        ,$79.8M          ,n/a             ,$649.98M        ,$104.39M         ,true
tortor sollicitudin  ,69   ,$22.51M         ,$1.1B           ,n/a             ,$5.47B          ,$2.49B          ,$769.94M        ,$15.62B         ,$25.84M         ,$34.78M         ,$37.14B          ,true
molestie hendrerit   ,8    ,$2.42B          ,$425.52M        ,n/a             ,$9.39B          ,$427.28M        ,$717.08M        ,$126.39M        ,$1.56B          ,$7.3B           ,$1.68B           ,false
libero nullam        ,33   ,$5.56B          ,$828.75M        ,$9.97B          ,$226.43M        ,$384.22M        ,$2.2B           ,$1.15B          ,$187.29M        ,$38.48B         ,$277.95M         ,false
porttitor id         ,95   ,$14.2M          ,$1.09B          ,$10.8B          ,$24.17B         ,$1.3B           ,$380.3M         ,$3.9B           ,$8.67B          ,$413.36M        ,$150.43M         ,true
lectus in            ,42   ,$2.67B          ,$548.61M        ,$5.04B          ,$61.92B         ,$2.6B           ,$790.66M        ,$1.81B          ,$3.32B          ,$2.68B          ,$443.54M         ,false
in                   ,1    ,$1.51B          ,$25.37B         ,$112.21M        ,$1.49B          ,$14.05M         ,                ,$10.06B         ,n/a             ,$534.86M        ,$10.42M          ,true
sapien               ,75   ,$1.41B          ,$9.62M          ,n/a             ,$1.88B          ,$26.78B         ,$309.13M        ,$3.51B          ,$164.43M        ,$2.52B          ,$113.2M          ,false
sapien dignissim     ,32   ,n/a             ,$797.81M        ,$285.58M        ,$5.26B          ,$145.98B        ,$48.3M          ,$28.43B         ,$3.23B          ,$18.6M          ,n/a              ,true
bibendum             ,76   ,$498.3M         ,n/a             ,$1.71B          ,$63.58M         ,$48.4M          ,$195.79B        ,n/a             ,$269.58M        ,$6.88B          ,$120.61M         ,true
vivamus              ,81   ,$499.2M         ,$64.31M         ,$6.98B          ,$1.14B          ,$92.34B         ,$1.54B          ,n/a             ,n/a             ,$29.38B         ,$9B              ,true
convallis duis       ,21   ,n/a             ,$19.06M         ,$750.07M        ,$6.92M          ,$826.02M        ,$3.61B          ,$480.79M        ,$15.97M         ,$276.7M         ,$433.94M         ,true
phasellus sit        ,43   ,$323.37M        ,$2.41B          ,$804.76M        ,$45.09M         ,$128.88M        ,$1.35B          ,$275.01M        ,$7.64M          ,$106.15M        ,                 ,false
nisi                 ,91   ,$1.1B           ,$60.17M         ,$30.31M         ,n/a             ,n/a             ,$235.9M         ,$6.66M          ,$5.24M          ,n/a             ,$7.19B           ,false
ut                   ,49   ,n/a             ,$75.98M         ,$220.8M         ,$6.35B          ,$93.96M         ,$217.04M        ,$7.48B          ,$496.43M        ,$1.28B          ,$129.61M         ,false
faucibus             ,10   ,n/a             ,$1.27B          ,$2.73B          ,$34.88M         ,$824M           ,$2.29B          ,n/a             ,$53.99M         ,n/a             ,$389.01M         ,true
id                   ,48   ,$427.28M        ,$21.4M          ,$29.21B         ,$5.12B          ,$560.24M        ,$2.67B          ,n/a             ,$4.32B          ,$48.91M         ,$182.92M         ,false
sed                  ,66   ,$200.51M        ,n/a             ,$1.35B          ,$3.24B          ,$2.24B          ,$1.47B          ,$5.53B          ,$12.9M          ,$654.41M        ,n/a              ,false
massa                ,7    ,$1.64B          ,$788.51M        ,$437.06M        ,$153.44M        ,$10.91M         ,$663.12B        ,$1.28B          ,n/a             ,$44.57M         ,                 ,false
ut                   ,88   ,n/a             ,$22.24M         ,$66.96M         ,$14.44B         ,n/a             ,$150.94M        ,$178.72M        ,$235.72M        ,$5.47B          ,$111.49M         ,false
nulla facilisi       ,26   ,$385.08M        ,n/a             ,$518.61M        ,$184.47M        ,$33.71M         ,$71.65M         ,$2.86B          ,$66.09M         ,$38.27M         ,n/a              ,false
orci                 ,76   ,$14.36B         ,$3.17B          ,$19.07M         ,$71.12B         ,$2.14B          ,$8.13B          ,$17.75B         ,$111.6M         ,$930.51M        ,$2.22B           ,true
rhoncus              ,50   ,$39.48B         ,$42.15M         ,$329.78M        ,$1.17B          ,$67.4B          ,$32.39B         ,$513.32M        ,$47.48M         ,$1.38B          ,$806.93M         ,true
pharetra magna       ,19   ,$402.04M        ,$269.48M        ,$36.87M         ,$882.08M        ,$6.15B          ,$2.26B          ,$22.21M         ,$218.49M        ,n/a             ,$4.06B           ,true
turpis               ,33   ,n/a             ,$11.51B         ,$568.38M        ,n/a             ,$52.14M         ,$652.54M        ,$46.06M         ,$2.07B          ,n/a             ,$6.85B           ,false
turpis adipiscing    ,58   ,$2B             ,$142.71M        ,$61.78M         ,$101.28M        ,$2.08B          ,$690.58M        ,$404.69M        ,$2.2B           ,n/a             ,$2.9B            ,false
ac                   ,22   ,$888.48M        ,$7.48B          ,$33.92M         ,$116.38B        ,$3.33B          ,$1.25B          ,$298.59M        ,$1.75B          ,$1.44M          ,$5.2B            ,false
suscipit ligula      ,23   ,$1.15B          ,n/a             ,$748.78M        ,$14.46B         ,$17.97B         ,$751.34M        ,$21.39B         ,$7.15B          ,$329.78M        ,$1.7B            ,true
eu magna             ,17   ,$18.83M         ,$20.68B         ,$10.76B         ,$261.63M        ,$506.02M        ,$782.98M        ,$44.44M         ,$293.39M        ,$5.48B          ,n/a              ,false
porttitor            ,21   ,$15.92B         ,$1.97B          ,n/a             ,$104.11M        ,$5.87B          ,$27.94B         ,$470.4M         ,$2.27B          ,$745.32M        ,                 ,false
orci                 ,22   ,$14.19B         ,n/a             ,$10.14B         ,$842.05M        ,$4.11M          ,                ,$19.4B          ,n/a             ,n/a             ,$9.39B           ,false
est donec            ,37   ,$1.49B          ,$11.67B         ,$332.64M        ,$267.39M        ,$1.18B          ,$49.09M         ,n/a             ,$383.96M        ,$337.68M        ,$31.32M          ,false
porta                ,99   ,$177.28M        ,n/a             ,n/a             ,$20.56B         ,$185.56M        ,$173.34M        ,$395.17M        ,$293.53M        ,$188.59M        ,$3B              ,true
pede                 ,89   ,$36.94M         ,$28.74M         ,$2.59B          ,n/a             ,$833.52M        ,$9.04B          ,$211.4M         ,n/a             ,$1.45B          ,$4.47B           ,true
hendrerit at         ,17   ,$172.23B        ,$442.3M         ,$5.58B          ,$190.99M        ,$425.82M        ,$2.03B          ,$677.94M        ,$9.37B          ,$4.57B          ,$4.83B           ,true
auctor sed           ,70   ,$24.35M         ,$68.61M         ,$6.87B          ,$852.24M        ,$513.58M        ,$8.83M          ,$287.76M        ,$414.73M        ,$21.8M          ,$110.16B         ,false
ipsum praesent       ,52   ,$226.45M        ,$196.39M        ,$29.21B         ,$21.44M         ,$60.17M         ,$144.44M        ,n/a             ,$42.85M         ,$8.19B          ,$355.85M         ,true
nibh                 ,89   ,$42.39M         ,$4.86B          ,$26.41B         ,$1.24B          ,n/a             ,                ,$427.4M         ,$628.13M        ,$1.39B          ,                 ,false
lobortis             ,85   ,n/a             ,$1.65B          ,n/a             ,$1.35B          ,$32.96B         ,$3.52B          ,$44.57M         ,n/a             ,$342.95M        ,$3.33M           ,true
justo                ,91   ,$403.79M        ,$211.4M         ,$137.3M         ,$21.4M          ,$541.39M        ,$14.27B         ,$540.44B        ,n/a             ,$194.79M        ,                 ,false
pellentesque         ,24   ,$2.4B           ,$2.08B          ,n/a             ,$1.83B          ,$15.58M         ,n/a             ,$5.28B          ,$296.28M        ,$12.32B         ,                 ,false
tincidunt            ,9    ,$1.12B          ,$334.83M        ,$1.51B          ,$323.56M        ,$90.06M         ,$4.6B           ,$904.29M        ,$36.89M         ,n/a             ,$3.17B           ,false
vivamus metus        ,41   ,n/a             ,$6.72B          ,$22.58M         ,$7.81B          ,$1.55B          ,$1.12B          ,$1.24B          ,$3.53B          ,$1B             ,$2.35B           ,false
sapien               ,78   ,n/a             ,$94.05M         ,$14.1M          ,$296.86M        ,$499.8M         ,n/a             ,n/a             ,$2.13B          ,n/a             ,$10.54M          ,false
porttitor            ,85   ,$1.16B          ,$180.4M         ,$804.63M        ,$12.59B         ,$411.91M        ,$73.46M         ,$246.49M        ,$14.75B         ,$1.46B          ,$3.06B           ,true
non quam             ,99   ,$570.61M        ,$609.33M        ,$1.27B          ,$1.57B          ,$479.19M        ,$445.08M        ,$60M            ,$34.88M         ,n/a             ,$461.58M         ,false
nisi vulputate       ,79   ,n/a             ,$307.3M         ,$694.28M        ,$56.05B         ,$877.03M        ,$128.88M        ,$559.9M         ,$21.91B         ,$35.86B         ,$4.19B           ,false
donec vitae          ,38   ,$28.74M         ,$77.63M         ,$126.72M        ,$37.43M         ,$975.87M        ,$195.96M        ,$21.56M         ,$920.02M        ,$1.91B          ,$32.63M          ,false
donec                ,1    ,$21.61B         ,$287.76M        ,$45.78M         ,$259.78M        ,n/a             ,$375.34M        ,$3.23B          ,$180.4M         ,$312.06M        ,                 ,false
nam congue           ,47   ,$2.32M          ,$200.65M        ,$187.28M        ,$19.54B         ,n/a             ,$1.61B          ,$7.58B          ,n/a             ,$595.41M        ,$6.7M            ,false
nunc                 ,13   ,$707.25M        ,n/a             ,$266.9M         ,$366.58M        ,$21.56M         ,$2.66B          ,$56.08B         ,$32.9B          ,$914.42M        ,n/a              ,false
tincidunt ante       ,13   ,$92.99M         ,$13.99M         ,$51.15M         ,n/a             ,$1B             ,$5.35B          ,n/a             ,$305.47M        ,$3.49M          ,$13.07B          ,true
amet turpis          ,94   ,$4.23B          ,$50.6M          ,$81.19M         ,n/a             ,$1.97B          ,n/a             ,$253.74M        ,$446M           ,$417.14M        ,$126.15M         ,true
in congue            ,17   ,$518.61M        ,$1.15B          ,n/a             ,$31.13B         ,n/a             ,$108.91M        ,n/a             ,$19.24M         ,$29.17M         ,$65.53M          ,true
nibh                 ,29   ,n/a             ,$32.9B          ,n/a             ,$1.72B          ,$230.63M        ,$180.9M         ,$4.11B          ,$186.89M        ,$10.72B         ,$4.58B           ,true
ut nulla             ,32   ,$70.06M         ,$65.43M         ,$2.92B          ,n/a             ,$947.69M        ,$396.21M        ,$252.29M        ,$1.37B          ,$355.28M        ,$527.16M         ,true
suspendisse          ,80   ,$229.77M        ,$77.2M          ,n/a             ,n/a             ,$164.19M        ,$4.57B          ,$316.71M        ,$170.65M        ,$126.15M        ,n/a              ,true
at velit             ,100  ,$41.77B         ,$8.33B          ,$26.04B         ,$1.33B          ,$60.4M          ,$531.09M        ,$111.6M         ,$13.85B         ,$615.54M        ,$197.92M         ,false
gravida nisi         ,87   ,$68.38M         ,$2.67B          ,$187.18M        ,$3.94B          ,$33.03B         ,$12.64B         ,$1.42B          ,$172.02M        ,$21.66M         ,$77.99M          ,false
faucibus cursus      ,17   ,$1.72B          ,$607.83M        ,$8.44B          ,$2.76B          ,$1.97B          ,$72.8B          ,n/a             ,n/a             ,$847.91M        ,$1.54B           ,false
morbi                ,76   ,$47.71M         ,n/a             ,$1.97B          ,$119.57M        ,$42.55M         ,$542.67M        ,$915.55M        ,$3.56B          ,$206.03M        ,n/a              ,false
nulla mollis         ,13   ,$65.43M         ,$153.96M        ,$27.49M         ,$151.54M        ,$380.1M         ,n/a             ,$3.45B          ,n/a             ,$18.6M          ,                 ,false
tincidunt            ,26   ,$1.75B          ,$615.54M        ,$57.51M         ,$1.1B           ,$306.09M        ,$1.46B          ,$36.17B         ,$907.72M        ,$1.19B          ,$1.24B           ,true
in felis             ,47   ,n/a             ,n/a             ,$301.01M        ,$7.89B          ,$5.93B          ,$12.32B         ,$24.07B         ,n/a             ,$195.09M        ,$10.76B          ,false
amet nunc            ,88   ,$325.51M        ,n/a             ,$18.91B         ,$8.42B          ,$4.24B          ,n/a             ,n/a             ,$92.42M         ,$3.4B           ,$243.51M         ,false
vestibulum ante      ,98   ,$158.76M        ,$226.45M        ,$270.26M        ,$11.34M         ,$12.03M         ,$229.85M        ,$52.45B         ,$6.79B          ,$7.79B          ,$1.55B           ,false
eget eleifend        ,17   ,$117.89M        ,$449.65M        ,$22.73M         ,$6.84B          ,$580.2M         ,$1.64B          ,$3.5B           ,$7.82B          ,$5.69M          ,$68.75M          ,false
purus eu             ,28   ,n/a             ,n/a             ,$696.23M        ,n/a             ,n/a             ,                ,$392.46M        ,$63.23M         ,$145.49M        ,$54.36M          ,false
eget orci            ,11   ,n/a             ,$445.87M        ,n/a             ,$1.4B           ,$45.41M         ,$2.55B          ,$54.41B         ,$380.76M        ,$3.49M          ,$54.07M          ,true
in leo               ,82   ,$13.85M         ,$477.6M         ,$29.54M         ,$1.93B          ,$149.58M        ,n/a             ,$22.51M         ,$3.51B          ,$29.43B         ,$10.2B           ,true
sapien arcu          ,87   ,$2.13B          ,n/a             ,n/a             ,$68.38M         ,$508.59M        ,$1.37B          ,$95.04M         ,$189.19M        ,n/a             ,$2.32M           ,false
neque sapien         ,15   ,$6.28B          ,$4.88B          ,$137.6M         ,$5.44B          ,$86.05M         ,$1.77B          ,$1.48B          ,$6.84B          ,$2.28B          ,$1.17B           ,true
ut                   ,20   ,$814.95M        ,n/a             ,$691.58M        ,$3.06B          ,$3.37B          ,$3.74B          ,$444.68M        ,$2.97B          ,n/a             ,$1.06B           ,false
non quam             ,61   ,$25.18B         ,$428.97M        ,$745.32M        ,$23.33B         ,$356.57M        ,$197.85M        ,$110.16B        ,$1.44B          ,$27.19M         ,$1.95B           ,false
ipsum primis         ,28   ,$23.74B         ,$5.09B          ,$3.48B          ,$49.22M         ,n/a             ,$142.71M        ,$890M           ,n/a             ,$1.19B          ,$2.05B           ,false
rutrum               ,70   ,$7.48B          ,$167.21M        ,$3.11B          ,$109.6M         ,$53.7M          ,$21.83B         ,$315.27M        ,n/a             ,$47.65M         ,$63.35M          ,true
lorem                ,6    ,$451.07M        ,$4.11B          ,$154.26M        ,$43.94B         ,$51.15M         ,n/a             ,$34.48M         ,$264.33M        ,$1.08B          ,$113.18M         ,true
est                  ,34   ,$174.42M        ,$3.75B          ,$181.85M        ,$89.69M         ,n/a             ,$233.17B        ,$649.92M        ,$812.25M        ,$10.83B         ,n/a              ,false
felis donec          ,59   ,$8.51B          ,$9.12B          ,$11.02B         ,$49.84B         ,$252.54M        ,$518.09M        ,$1.05B          ,$768.07M        ,$7.21B          ,$3.13B           ,false
vel                  ,81   ,n/a             ,$1.17B          ,n/a             ,$326.22M        ,$158.42M        ,$2.52B          ,$1.59B          ,$1.53B          ,n/a             ,$188.59M         ,true
nisi eu              ,32   ,$2.09B          ,$10.31B         ,$1.73B          ,$4.62B          ,$7.32B          ,$52.03M         ,$7.49B          ,$1.16B          ,$1.35B          ,$4.93B           ,true
suscipit a           ,95   ,$821.61M        ,$1.09B          ,n/a             ,$5.53B          ,$20.37B         ,$3.9B           ,$787.59M        ,n/a             ,$3.34B          ,                 ,true
faucibus cursus      ,49   ,$3.72B          ,$2.54B          ,$6.6B           ,$165.47M        ,$24.59M         ,$822.77M        ,$1.09B          ,$74.69M         ,$33.53B         ,$850.59M         ,true
adipiscing           ,61   ,$1.09B          ,n/a             ,$1.74B          ,$2.27B          ,n/a             ,$310.86M        ,$14.59B         ,$6.36M          ,n/a             ,$6.19B           ,true
nisi venenatis       ,32   ,$710.19M        ,n/a             ,$99.71M         ,$1.04B          ,$2.25B          ,$7.24M          ,n/a             ,$123.38M        ,$33.7B          ,$701.96M         ,false
sit amet             ,73   ,$1.08B          ,$858.03M        ,n/a             ,n/a             ,$628.13M        ,$137.46M        ,$16.68B         ,$3.99B          ,$68.49M         ,$9.44B           ,true
posuere              ,74   ,$833.52M        ,$42.87B         ,$802.72M        ,$4.14B          ,$163.76M        ,$495.07M        ,$947.69M        ,$42.78M         ,$3.11B          ,$459.34M         ,false
at turpis            ,8    ,$864.67M        ,n/a             ,n/a             ,$4.16B          ,$63.94M         ,$8.74B          ,$94.92M         ,$193.55M        ,$2.35B          ,                 ,false
vivamus in           ,83   ,$716.78M        ,$1.56B          ,$1.01B          ,n/a             ,$59.2M          ,                ,$84.21M         ,$2.71B          ,$719.19M        ,$31.49B          ,false
vitae                ,67   ,$3.73B          ,n/a             ,$188.59M        ,$4.54B          ,$1.52B          ,$12.39B         ,$38.24M         ,$663.37M        ,$1.91B          ,$3.18B           ,true
habitasse            ,89   ,$4.88B          ,$1.05B          ,$1.89B          ,$671.8M         ,$320.19M        ,$84.27M         ,$84.17M         ,$6.33M          ,$4.01B          ,$1.52B           ,true
nec                  ,2    ,$2.86B          ,$92.5M          ,$41.23M         ,$7.93B          ,$116.83M        ,$484.37M        ,$1.39B          ,n/a             ,$6.59B          ,$787.59M         ,false
in est               ,84   ,$2.63B          ,$1.58B          ,$6.29B          ,$2.09B          ,$1.26B          ,$909.02M        ,$1.59B          ,n/a             ,$8.43B          ,$225.51M         ,true
ipsum                ,11   ,n/a             ,$256.09M        ,$70.81B         ,$749.12M        ,$896.34M        ,                ,$258.12M        ,n/a             ,n/a             ,$599.24M         ,true
tincidunt            ,3    ,$3.23B          ,$134.32M        ,$84.31M         ,$352.64M        ,$4.17B          ,$2.68B          ,$185.56M        ,n/a             ,$19.84M         ,n/a              ,false
accumsan tellus      ,95   ,$3.04B          ,$225.71M        ,n/a             ,n/a             ,$47.32B         ,$32.74M         ,$25.45M         ,$185.42M        ,$3.47B          ,$6.58B           ,true
curae donec          ,1    ,$4.6B           ,$18.64M         ,$191.36M        ,$156.02B        ,$22.67M         ,$49.88M         ,$543.65M        ,$1.04B          ,$647.69M        ,                 ,false
rhoncus              ,13   ,n/a             ,$809.46M        ,$83.79B         ,n/a             ,$2.15B          ,n/a             ,$200.83M        ,$115.53M        ,$803.3M         ,$3.6B            ,false
bibendum             ,84   ,$51.95B         ,$5.87B          ,$2.36B          ,$9.84B          ,$208.28M        ,$4.62B          ,$772.35M        ,$21.58M         ,$59.21M         ,n/a              ,true
morbi                ,38   ,$643.63M        ,$45.18M         ,$1.28B          ,$16.82M         ,$641.08M        ,$219.23M        ,$541.62M        ,$395.17M        ,$64.15M         ,$748.78M         ,false
luctus et            ,99   ,n/a             ,$84.79B         ,$9.35B          ,$6.19B          ,$802.93M        ,n/a             ,$2.43B          ,n/a             ,$372.55M        ,n/a              ,false
orci vehicula        ,98   ,n/a             ,$1.35B          ,$39.22B         ,$6.29B          ,$2.9B           ,$11.18B         ,$556.3M         ,$280.36M        ,$159.18M        ,$250.2M          ,false
sapien               ,67   ,$23.69B         ,n/a             ,$2.38B          ,$5.63B          ,$101.69M        ,$16.12M         ,$3.39B          ,$556.3M         ,n/a             ,$2.05B           ,true
nullam               ,95   ,$25.45M         ,$28.99M         ,$142.71M        ,$7.64M          ,$30.84M         ,                ,$760.16M        ,$189.23B        ,$505.59M        ,$15.38M          ,true
pede ullamcorper     ,11   ,$42.84B         ,$276.36M        ,$2.69B          ,$3.08M          ,$520.56M        ,$2.56B          ,$33.57M         ,$195.66M        ,$378.97M        ,$36.46B          ,false
sed                  ,20   ,n/a             ,$2.31M          ,$167.72M        ,n/a             ,$219.73M        ,$1.84B          ,n/a             ,$1.15B          ,$186.35M        ,n/a              ,true
orci                 ,21   ,$17.75B         ,$2.32B          ,$87.46B         ,$61.72M         ,$10.85B         ,n/a             ,n/a             ,$2.43B          ,$106.79M        ,$415.62M         ,false
nec                  ,31   ,$2.87B          ,$48.46M         ,$326.9M         ,$105.89M        ,$18.26B         ,$7.17B          ,$91.85M         ,$959.79M        ,$187.28M        ,$442.25M         ,false
at                   ,54   ,$141.43M        ,$51.34B         ,$166.26M        ,$2.16B          ,$2.17B          ,$4.6M           ,$7.21M          ,$2.35B          ,$2B             ,$185.98M         ,true
sit amet             ,9    ,$313.17M        ,$1.99B          ,$4.76M          ,$324.29M        ,$790.37M        ,$93.71M         ,$1.5B           ,$2.71B          ,$660.53M        ,$761.63M         ,true
est                  ,62   ,$5.21B          ,$169.12M        ,$3.87B          ,$387.13M        ,$575.5M         ,$1.04B          ,$884.58M        ,$1.64B          ,n/a             ,$8.13B           ,false
ornare consequat     ,74   ,$135.24B        ,$5.91B          ,$1.79B          ,n/a             ,$2.88B          ,$5.04B          ,$5.35B          ,$264.56M        ,n/a             ,n/a              ,true
quisque id           ,76   ,$54.28M         ,$345.32M        ,$126.61M        ,$4.57B          ,$23.91B         ,$44.57M         ,n/a             ,$2.09B          ,$1.32B          ,$1.97B           ,false
ullamcorper          ,53   ,n/a             ,$2.92B          ,$2.24B          ,$91.02B         ,$1.02B          ,$112.21M        ,$233.17B        ,n/a             ,$1.21B          ,n/a              ,true
arcu                 ,60   ,n/a             ,$177.98M        ,$21.19B         ,$329.78M        ,$64.41M         ,$71.76M         ,$257.8M         ,$132.03M        ,$4.4B           ,$5.04B           ,true
integer              ,32   ,$923.44M        ,$601.02M        ,$352.17M        ,$203.67M        ,$21.7B          ,n/a             ,$192.72M        ,$78.45M         ,$852.24M        ,$7.93B           ,true
nisi                 ,7    ,$91.25B         ,$2.49B          ,$5.8B           ,$737.59M        ,$2.05B          ,n/a             ,$13.23B         ,$1.1B           ,$9.37B          ,n/a              ,false
sapien               ,70   ,$1.06B          ,$1.83B          ,$8.63B          ,$9.46B          ,$37.85B         ,$5.45B          ,$3.25M          ,$3.11B          ,$436.6M         ,$51.52M          ,false
quis orci            ,58   ,n/a             ,$191.21B        ,$18.56M         ,$356.59M        ,$21.32B         ,$3.31B          ,$323.6M         ,$44.68B         ,$32.79M         ,$1.25B           ,true
euismod scelerisque  ,38   ,$123.47M        ,$217.12B        ,$2.18B          ,n/a             ,$34.86M         ,$21.32M         ,n/a             ,$536.19M        ,$229.32B        ,$760.16M         ,false
rhoncus aliquet      ,85   ,$607.04M        ,$738.7M         ,$16.53B         ,$164.06M        ,$153.72M        ,$1.54B          ,$896.08M        ,$220.8M         ,$425.52M        ,n/a              ,false
cubilia              ,7    ,$60.66M         ,$575.5M         ,$737.05M        ,$440.65M        ,n/a             ,$308.22M        ,$50.38B         ,n/a             ,n/a             ,n/a              ,false
iaculis              ,100  ,n/a             ,n/a             ,$251.77M        ,$701.96M        ,$3.17B          ,n/a             ,$229.85M        ,n/a             ,$253.51M        ,$11.94B          ,true
eget                 ,34   ,$12.16M         ,$959.07M        ,$29.17M         ,n/a             ,$14.16B         ,                ,$289.1M         ,$2.5B           ,$1.71B          ,$354.27M         ,false
ut                   ,40   ,$3.55M          ,n/a             ,$406.47M        ,n/a             ,$6.4B           ,$628.13M        ,$11.84B         ,$9.48B          ,$6.9B           ,n/a              ,false
libero nam           ,85   ,$739.26M        ,$219.02M        ,$174.94M        ,$2.66B          ,$18.42B         ,$2.3B           ,$532.25M        ,$436.92M        ,$125.21M        ,$323.02M         ,true
elit                 ,7    ,n/a             ,$17.75B         ,$1.92B          ,$12.29M         ,$354.29M        ,n/a             ,$1.64B          ,$8.23B          ,$2.89B          ,$2.93B           ,false
phasellus sit        ,71   ,$14.37B         ,n/a             ,$580.2M         ,$60.36M         ,$1.84B          ,$6.18B          ,$69M            ,$1.21B          ,$1.53B          ,n/a              ,true
justo pellentesque   ,41   ,$113.85M        ,$179.29M        ,$283.89M        ,$358.78M        ,$57.58B         ,$129.98M        ,$125.21M        ,$326.9M         ,$161.77M        ,$233.83M         ,true
eget semper          ,30   ,$2.28B          ,$243.18M        ,$56.29M         ,$980.68M        ,$2.24B          ,$49.09M         ,$589.55M        ,$1.66B          ,n/a             ,n/a              ,false
tortor risus         ,57   ,$217.04M        ,$592.24M        ,$7.72B          ,n/a             ,$291.31M        ,                ,$243.18M        ,$183.15M        ,$266.52M        ,$781.27M         ,false
malesuada in         ,32   ,$582.59M        ,$415.87M        ,$1.18B          ,$236.63M        ,$2.49B          ,                ,$2.29B          ,$89.35M         ,$95.77M         ,$3.4B            ,true
neque                ,23   ,$299.6M         ,$710.24M        ,$3.69B          ,$31.83M         ,$23.11B         ,$1.58B          ,$1.46B          ,$1.39B          ,$544.07M        ,n/a              ,false
blandit non          ,17   ,$61.72M         ,$2.67B          ,$25.18B         ,$1.26B          ,$115.12M        ,n/a             ,$141.43M        ,$146.64M        ,$8.63B          ,n/a              ,true
quisque arcu         ,79   ,$350.95M        ,$9.06B          ,n/a             ,$882.18M        ,$107.03M        ,$96.78M         ,$1.6B           ,$2.18B          ,$166.93B        ,n/a              ,false
neque vestibulum     ,43   ,$8.33M          ,$46.76M         ,$55.73B         ,$261.9M         ,$1.4B           ,n/a             ,$1.34B          ,$9.32B          ,$13.75B         ,n/a              ,false
enim                 ,66   ,$2.17B          ,$104.11M        ,$25.39M         ,n/a             ,$13.7B          ,$575.54M        ,$701.48M        ,$1.16B          ,$7.48B          ,n/a              ,true
viverra pede         ,15   ,$1.04B          ,$966M           ,$410.12M        ,n/a             ,$122.41M        ,n/a             ,$4.68B          ,$27.99M         ,$14.37B         ,$1.1B            ,false
sociis               ,14   ,$157.5M         ,$3.65B          ,$65.43M         ,$990.02M        ,$1.97B          ,$437.47M        ,$40.61B         ,n/a             ,$102.4M         ,$163.76M         ,false
montes nascetur      ,84   ,$179.29M        ,$1.02B          ,$2.62B          ,$2.63B          ,$4.28B          ,$330.28M        ,$7B             ,$702.5M         ,n/a             ,$9.82B           ,false
sapien               ,92   ,$8.28B          ,$9.12B          ,n/a             ,$1.62B          ,$186.35M        ,$7.58B          ,$2.9B           ,$520.01M        ,$6.64B          ,$67.58M          ,true
sit                  ,2    ,$94.05M         ,$6.36B          ,$39.11B         ,$217.04M        ,$2.84B          ,$18.84B         ,$240.54M        ,$3.67B          ,n/a             ,$311.29M         ,true
nulla eget           ,80   ,$1.91B          ,$2.05B          ,n/a             ,$414.73M        ,$13.87B         ,$1.64B          ,$575.54M        ,$5.93B          ,$10.91M         ,n/a              ,true
in                   ,66   ,n/a             ,$699.62M        ,$2.86B          ,$3.73B          ,$275.95M        ,$126.61M        ,$28.13M         ,$84.39M         ,$351.32M        ,$15.38M          ,true
vestibulum           ,78   ,$15.58M         ,$150.68M        ,$3.48B          ,n/a             ,$73.68M         ,$534.38M        ,$3.79B          ,$8.55B          ,$243.62M        ,$592.36M         ,false
tempus               ,29   ,$1.37B          ,n/a             ,$742.65M        ,$10.45B         ,$49.95B         ,n/a             ,$6.55B          ,$6.43B          ,$48.81M         ,$751.86M         ,false
id                   ,57   ,$150.94M        ,$14.59B         ,$775.3M         ,$204.1M         ,$2.47B          ,n/a             ,$1.15B          ,$242.27M        ,$251.61M        ,$107.35M         ,true
donec pharetra       ,71   ,$64.33M         ,$423.98M        ,$69.13M         ,$389.56M        ,$5.87B          ,$16B            ,$2.63M          ,$21.62M         ,$151.54M        ,$3.62B           ,false
elit proin           ,3    ,$210.14M        ,$2.35B          ,$2.89B          ,$62.92M         ,$21.66M         ,$1.77B          ,$1.41B          ,$2.24B          ,$421.64M        ,$76.52M          ,true
libero               ,74   ,$69.91M         ,n/a             ,$41.88M         ,$1.61B          ,$1.41B          ,$122.79M        ,$17.51B         ,$10.58B         ,$3.72B          ,n/a              ,true
at turpis            ,75   ,n/a             ,$1.04B          ,$3.1B           ,$137.93M        ,$2.92B          ,                ,$89.69M         ,n/a             ,$318.69M        ,$342.51M         ,true
in felis             ,32   ,$3.68B          ,$1.89B          ,$1.89B          ,$1.51B          ,$1.39B          ,$225.24M        ,$1.69B          ,n/a             ,$1.5B           ,                 ,true
iaculis              ,82   ,n/a             ,$5.65B          ,$14.1M          ,$254.48M        ,$101.12M        ,$4.28B          ,$111.6M         ,$13.07B         ,n/a             ,n/a              ,false
